date,px_last,total_return_index
2006-01-03,1268.8,1268.8
2006-01-04,1273.46,1273.713
2006-01-05,1273.48,1273.7433
2006-01-06,1285.45,1286.0246
2006-01-09,1290.15,1290.7284
2006-01-10,1289.69,1290.339
2006-01-11,1294.18,1294.9839
2006-01-12,1286.06,1286.8698
2006-01-13,1287.61,1288.4286
2006-01-17,1282.93,1283.7456
2006-01-18,1277.93,1278.8804
2006-01-19,1285.04,1286.0043
2006-01-20,1261.48,1262.4392
2006-01-23,1263.83,1264.8089
2006-01-24,1266.86,1267.8579
2006-01-25,1264.68,1265.7023
2006-01-26,1273.83,1274.8984
2006-01-27,1283.72,1284.9216
2006-01-30,1285.2,1286.4609
2006-01-31,1280.09,1281.3489
2006-02-01,1282.46,1283.8722
2006-02-02,1270.84,1272.5818
2006-02-03,1264.03,1265.8536
2006-02-06,1265.02,1266.862
2006-02-07,1254.78,1256.6446
2006-02-08,1265.65,1268.0581
2006-02-09,1263.78,1266.2506
2006-02-10,1266.99,1269.4859
2006-02-13,1262.86,1265.5333
2006-02-14,1275.53,1278.3849
2006-02-15,1280.0,1283.1607
2006-02-16,1289.38,1292.6659
2006-02-17,1287.24,1290.5309
2006-02-21,1283.03,1286.3154
2006-02-22,1292.67,1296.1036
2006-02-23,1287.79,1291.5493
2006-02-24,1289.43,1293.3775
2006-02-27,1294.12,1298.3011
2006-02-28,1280.66,1284.813
2006-03-01,1291.24,1295.7758
2006-03-02,1289.14,1293.6863
2006-03-03,1287.23,1291.7949
2006-03-06,1278.26,1282.8468
2006-03-07,1275.88,1280.5195
2006-03-08,1278.47,1283.4798
2006-03-09,1272.23,1277.2405
2006-03-10,1281.58,1286.6303
2006-03-13,1284.13,1289.5632
2006-03-14,1297.48,1302.9697
2006-03-15,1303.02,1308.6214
2006-03-16,1305.33,1310.9725
2006-03-17,1307.25,1312.9071
2006-03-20,1305.08,1310.7301
2006-03-21,1297.23,1302.8615
2006-03-22,1305.04,1310.7319
2006-03-23,1301.67,1307.3523
