date,iv_30d_atm,iv_3m_atm
2006-01-03,9.9802,11.655
2006-01-04,10.216,11.665
2006-01-05,10.273,11.6991
2006-01-06,9.7777,11.3043
2006-01-09,9.9178,11.3156
2006-01-10,9.7345,11.2627
2006-01-11,9.9965,11.2728
2006-01-12,10.2766,11.5502
2006-01-13,10.1807,11.5232
2006-01-17,10.8674,12.0182
2006-01-18,10.9912,12.1462
2006-01-19,10.3931,11.8245
2006-01-20,12.2731,13.0721
2006-01-23,11.8024,12.9652
2006-01-24,11.1771,12.3992
2006-01-25,11.0807,12.3314
2006-01-26,10.5251,11.8889
2006-01-27,10.2881,11.5602
2006-01-30,10.6387,11.7033
2006-01-31,11.0409,11.8614
2006-02-01,10.8201,11.7309
2006-02-02,11.5192,12.1728
2006-02-03,11.3847,12.0506
2006-02-06,11.4178,12.1712
2006-02-07,12.0067,12.6502
2006-02-08,11.402,12.1621
2006-02-09,11.4883,12.2641
2006-02-10,11.1726,12.0399
2006-02-13,11.7063,12.4116
2006-02-14,10.796,11.8183
2006-02-15,10.4758,11.6482
2006-02-16,9.6846,11.0302
2006-02-17,9.8291,11.1635
2006-02-21,10.3869,11.2695
2006-02-22,9.6508,10.9122
2006-02-23,9.9599,11.067
2006-02-24,9.8173,10.947
2006-02-27,9.7595,11.006
2006-02-28,10.7997,11.6229
2006-03-01,9.8857,11.147
2006-03-02,10.2191,11.3277
2006-03-03,10.2914,11.265
2006-03-06,11.2993,11.8937
2006-03-07,11.3334,12.0688
2006-03-08,11.2356,11.9495
2006-03-09,11.307,12.1068
2006-03-10,10.7641,11.6918
2006-03-13,10.7167,11.6338
2006-03-14,10.2281,11.1148
2006-03-15,10.194,11.0434
2006-03-16,10.2621,11.1683
2006-03-17,10.2746,11.2124
2006-03-20,10.21,11.3493
2006-03-21,10.1238,11.4558
2006-03-22,9.6988,11.1105
2006-03-23,9.808,11.1263
2006-03-24,9.6862,11.0176
2006-03-27,10.0582,11.164
2006-03-28,10.1785,11.2394
2006-03-29,9.5993,10.7202
2006-03-30,10.1803,11.1248
2006-03-31,10.4064,11.296
2006-04-03,10.2553,11.156
