date,iv_1m_put_25d,iv_1m_call_25d,iv_3m_atm_put
2006-01-03,10.51,9.03,11.54
2006-01-04,10.81,9.24,11.56
2006-01-05,10.71,9.25,11.58
2006-01-06,10.02,8.65,11.19
2006-01-09,10.58,9.02,11.2
2006-01-10,10.09,8.52,11.13
2006-01-11,10.04,8.2,11.15
2006-01-12,9.96,8.26,11.41
2006-01-13,9.5,8.05,11.4
2006-01-17,12.86,10.09,11.89
2006-01-18,13.07,11.17,12.02
2006-01-19,15.23,8.83,11.69
2006-01-20,14.15,11.25,12.99
2006-01-23,13.26,10.5,12.96
2006-01-24,12.5,10.07,12.4
2006-01-25,12.0,9.81,12.32
2006-01-26,11.48,9.37,11.87
2006-01-27,10.99,9.04,11.55
2006-01-30,11.68,9.63,11.69
2006-01-31,12.33,10.15,11.84
2006-02-01,11.63,9.61,11.71
2006-02-02,12.38,10.55,12.18
2006-02-03,11.95,10.05,12.06
2006-02-06,11.52,9.85,12.16
2006-02-07,11.77,10.22,12.65
2006-02-08,10.81,9.23,12.15
2006-02-09,11.06,9.38,12.25
2006-02-10,10.21,8.97,12.03
2006-02-13,11.61,10.14,12.4
2006-02-14,11.64,10.21,11.78
2006-02-15,11.6,10.31,11.61
2006-02-16,11.54,13.83,10.99
2006-02-17,11.32,8.78,11.65
2006-02-21,11.77,9.23,11.28
2006-02-22,11.06,8.89,10.92
2006-02-23,11.13,8.93,11.08
2006-02-24,10.68,8.57,10.97
2006-02-27,10.97,8.86,11.01
2006-02-28,11.91,9.69,11.63
2006-03-01,10.78,8.82,11.15
2006-03-02,11.1,8.98,11.33
2006-03-03,11.39,9.39,11.29
2006-03-06,12.74,10.35,11.9
2006-03-07,12.44,10.23,12.07
2006-03-08,11.54,9.8,11.95
2006-03-09,11.84,10.38,12.12
2006-03-10,11.03,9.16,11.7
2006-03-13,11.88,10.13,11.64
2006-03-14,11.52,10.08,11.12
2006-03-15,11.78,10.5,11.05
2006-03-16,11.48,7.84,11.17
2006-03-17,11.63,9.41,11.22
2006-03-20,11.45,9.36,11.34
2006-03-21,11.37,9.23,11.44
2006-03-22,10.9,8.81,11.09
2006-03-23,10.92,8.93,11.1
2006-03-24,10.73,8.76,10.98
2006-03-27,10.97,9.28,11.12
2006-03-28,11.06,9.27,11.21
2006-03-29,10.45,8.79,10.69
2006-03-30,11.15,9.47,11.08
2006-03-31,11.51,9.79,11.25
2006-04-03,11.41,9.53,11.1
2006-04-04,10.85,9.21,10.8
2006-04-05,10.93,9.22,10.76
2006-04-06,11.23,9.42,10.8
2006-04-07,11.66,10.16,11.38
2006-04-10,11.96,10.3,11.44
2006-04-11,12.48,11.11,12.04
2006-04-12,11.92,10.33,11.9
2006-04-13,11.26,9.82,11.75
2006-04-17,13.97,12.05,12.02
2006-04-18,13.48,12.1,11.06
2006-04-19,13.28,10.75,10.86
2006-04-20,15.33,9.37,10.83
2006-04-21,11.21,8.88,10.92
2006-04-24,11.05,8.87,10.9
2006-04-25,11.05,8.8,10.96
2006-04-26,11.1,8.8,10.88
2006-04-27,11.11,8.73,10.87
2006-04-28,10.91,8.75,10.85
2006-05-01,11.83,9.67,11.24
2006-05-02,11.37,9.06,11.05
2006-05-03,11.3,9.14,11.11
2006-05-04,10.9,8.96,10.95
2006-05-05,10.57,8.61,10.65
2006-05-08,11.22,9.38,10.96
2006-05-09,11.2,9.45,10.92
2006-05-10,10.92,9.2,10.89
2006-05-11,11.58,9.53,11.37
2006-05-12,13.93,11.46,12.27
2006-05-15,14.11,11.69,11.94
2006-05-16,13.89,11.34,11.84
2006-05-17,16.81,14.45,13.45
2006-05-18,14.13,11.94,13.93
2006-05-19,16.64,11.72,13.73
2006-05-22,18.19,12.67,14.1
2006-05-23,18.96,13.47,14.2
2006-05-24,17.61,12.02,14.2
2006-05-25,15.25,10.7,13.27
2006-05-26,13.86,9.85,12.71
2006-05-30,20.02,14.27,15.16
2006-05-31,16.63,11.63,14.24
2006-06-01,13.79,10.27,13.14
2006-06-02,13.6,9.8,13.07
2006-06-05,17.59,12.85,14.7
2006-06-06,17.79,13.19,15.2
2006-06-07,17.47,13.63,15.66
2006-06-08,17.55,13.91,15.79
2006-06-09,16.78,13.87,15.75
2006-06-12,21.14,17.97,17.06
2006-06-13,21.79,20.25,18.32
2006-06-14,12.87,11.99,17.33
2006-06-15,13.24,12.45,13.97
2006-06-16,17.37,11.53,14.62
2006-06-19,18.15,12.47,15.54
2006-06-20,17.03,11.55,15.07
2006-06-21,15.78,10.78,13.84
2006-06-22,16.14,11.24,14.19
2006-06-23,16.4,11.42,14.37
2006-06-26,15.94,11.17,13.82
2006-06-27,17.02,12.21,14.63
2006-06-28,16.16,11.63,14.43
2006-06-29,12.59,9.37,12.33
2006-06-30,12.92,9.77,12.87
2006-07-03,12.47,9.53,12.56
2006-07-05,13.33,10.35,13.5
2006-07-06,12.83,10.24,13.34
2006-07-07,12.87,10.35,13.85
2006-07-10,13.1,10.49,13.86
2006-07-11,12.39,9.71,13.26
2006-07-12,14.73,11.6,14.23
2006-07-13,20.58,15.77,15.93
2006-07-14,19.0,14.09,16.11
2006-07-17,21.43,15.63,16.25
2006-07-18,21.68,16.06,15.63
2006-07-19,13.98,12.47,13.88
2006-07-20,12.23,11.28,14.58
2006-07-21,18.26,13.01,15.2
2006-07-24,15.21,11.16,13.9
2006-07-25,14.8,10.83,13.45
2006-07-26,14.56,10.83,13.48
2006-07-27,14.72,11.25,13.98
2006-07-28,13.86,10.6,13.59
2006-07-31,14.75,11.18,13.93
2006-08-01,14.58,11.11,14.11
2006-08-02,13.87,10.79,13.69
2006-08-03,14.11,11.13,13.8
2006-08-04,13.4,10.84,13.71
2006-08-07,14.83,12.02,14.21
2006-08-08,14.24,11.75,14.31
2006-08-09,13.66,11.37,14.5
