date,iv_1m_put_10d,iv_1m_put_25d,iv_1m_put_50d,iv_1m_call_10d,iv_1m_call_25d,iv_1m_call_50d,iv_2m_put_10d,iv_2m_put_25d,iv_2m_put_40d,iv_2m_put_50d,iv_2m_call_10d,iv_2m_call_25d,iv_2m_call_40d,iv_2m_call_50d,iv_3m_atm_put
2005-01-03,14.66,13.68,11.89,11.48,11.64,11.88,14.15,13.51,12.84,12.4,11.55,11.88,12.19,12.4,13.41
2005-01-04,14.38,13.48,11.85,11.67,11.74,11.85,14.26,13.64,13.0,12.58,11.82,12.11,12.39,12.58,13.46
2005-01-05,14.56,13.65,12.03,11.66,11.8,12.04,14.22,13.7,13.15,12.79,11.9,12.24,12.58,12.8,13.47
2005-01-06,13.74,12.94,11.52,11.72,11.65,11.52,13.85,13.26,12.65,12.24,11.39,11.72,12.04,12.24,12.95
2005-01-07,13.26,12.5,11.16,11.43,11.33,11.16,13.56,13.04,12.49,12.13,11.52,11.75,11.98,12.14,12.82
2005-01-10,13.8,12.83,11.05,11.41,11.28,11.05,13.29,12.72,12.13,11.73,11.0,11.28,11.56,11.73,12.6
2005-01-11,14.23,13.13,11.1,11.73,11.5,11.09,13.27,12.72,12.14,11.77,11.1,11.35,11.61,11.77,12.71
2005-01-12,13.33,12.18,10.04,11.4,10.91,10.04,12.9,12.35,11.77,11.39,10.78,11.01,11.24,11.4,12.42
2005-01-13,13.44,12.21,9.88,12.29,11.44,9.87,13.13,12.58,12.01,11.64,10.91,11.19,11.46,11.64,12.58
2005-01-14,13.18,11.69,8.73,11.55,10.58,8.72,12.65,12.09,11.51,11.13,10.5,10.74,10.98,11.13,12.25
2005-01-18,17.3,15.02,10.25,15.21,13.56,10.23,12.52,11.97,11.41,11.03,10.35,10.61,10.86,11.03,11.85
2005-01-19,18.41,15.69,9.73,16.05,14.01,9.69,13.21,12.61,11.97,11.56,10.97,11.2,11.42,11.56,12.47
2005-01-20,21.96,17.91,7.31,10.17,9.2,7.31,14.01,13.32,12.58,12.1,11.35,11.64,11.92,12.1,12.77
2005-01-21,14.35,13.59,12.26,11.33,11.69,12.26,14.46,13.86,13.23,12.83,11.92,12.27,12.61,12.83,13.14
2005-01-24,14.85,13.96,12.38,11.67,11.94,12.38,14.62,14.02,13.39,12.98,12.01,12.38,12.74,12.98,13.41
2005-01-25,14.16,13.3,11.77,11.1,11.35,11.77,14.48,13.79,13.06,12.58,11.48,11.9,12.32,12.58,12.95
2005-01-26,13.37,12.55,11.09,10.42,10.68,11.1,14.12,13.35,12.54,12.0,11.04,11.41,11.78,12.01,12.41
2005-01-27,13.17,12.3,10.74,10.08,10.33,10.74,13.77,12.99,12.15,11.6,10.63,11.01,11.37,11.61,12.12
2005-01-28,13.52,12.6,10.92,10.36,10.57,10.92,13.7,12.91,12.06,11.5,10.58,10.94,11.28,11.5,12.14
2005-01-31,12.95,12.06,10.44,9.87,10.08,10.44,12.25,11.81,11.35,11.04,9.99,10.4,10.79,11.05,11.58
2005-02-01,12.64,11.65,9.8,9.4,9.55,9.8,12.05,11.5,10.93,10.55,9.74,10.06,10.36,10.56,11.26
2005-02-02,12.44,11.47,9.69,9.41,9.52,9.69,12.0,11.35,10.66,10.19,9.17,9.57,9.95,10.2,10.86
2005-02-03,12.71,11.65,9.68,9.56,9.61,9.68,11.91,11.34,10.74,10.34,9.48,9.81,10.13,10.34,10.98
2005-02-04,12.0,10.89,8.79,9.13,9.0,8.79,11.37,10.76,10.13,9.7,8.75,9.12,9.48,9.71,10.34
2005-02-07,12.61,11.56,9.61,10.51,10.18,9.61,11.92,11.26,10.56,10.09,9.34,9.63,9.91,10.09,10.68
2005-02-08,13.14,11.79,9.17,10.44,9.98,9.17,11.68,11.06,10.41,9.97,9.15,9.47,9.78,9.98,10.54
2005-02-09,13.5,12.19,9.7,11.39,10.79,9.69,12.11,11.52,10.89,10.47,9.4,9.82,10.22,10.48,11.03
2005-02-10,13.1,11.76,9.16,10.73,10.17,9.15,12.03,11.32,10.56,10.05,9.1,9.47,9.83,10.06,10.64
2005-02-11,13.86,12.09,8.42,10.69,9.9,8.42,11.77,11.05,10.28,9.76,8.98,9.28,9.58,9.77,10.44
2005-02-14,16.56,14.14,8.82,11.72,10.72,8.81,12.0,11.28,10.5,9.98,9.15,9.47,9.78,9.98,10.56
2005-02-15,15.66,13.38,8.39,14.6,12.63,8.38,11.26,10.65,10.01,9.58,8.97,9.2,9.43,9.58,10.26
2005-02-16,16.56,13.8,7.19,8.9,8.3,7.19,11.19,10.54,9.85,9.38,8.77,9.0,9.23,9.38,10.23
2005-02-17,14.32,12.11,7.09,6.95,7.0,7.09,11.77,11.1,10.38,9.9,9.3,9.53,9.75,9.9,10.62
2005-02-18,11.28,10.54,9.22,8.59,8.84,9.22,11.09,10.65,10.2,9.89,8.96,9.32,9.67,9.9,10.54
2005-02-22,13.35,12.58,11.21,10.07,10.52,11.22,12.47,12.04,11.58,11.28,10.22,10.63,11.03,11.28,11.58
2005-02-23,12.44,11.66,10.27,9.43,9.75,10.27,12.52,11.91,11.26,10.83,9.87,10.24,10.6,10.83,11.34
2005-02-24,11.93,11.07,9.49,8.86,9.1,9.49,11.66,11.1,10.51,10.11,9.02,9.44,9.85,10.12,10.81
2005-02-25,11.74,10.99,9.65,9.21,9.38,9.65,11.32,10.78,10.21,9.83,9.03,9.34,9.64,9.84,10.53
2005-02-28,13.55,12.48,10.52,10.1,10.26,10.52,12.29,11.65,10.98,10.53,9.66,9.99,10.32,10.53,11.16
2005-03-01,12.57,11.78,10.36,10.12,10.21,10.36,12.06,11.5,10.92,10.53,9.63,9.98,10.31,10.53,11.13
2005-03-02,13.26,12.37,10.78,10.42,10.56,10.78,12.71,12.09,11.43,11.0,10.07,10.43,10.78,11.0,11.62
2005-03-03,13.54,12.58,10.84,10.7,10.75,10.84,12.72,12.12,11.49,11.08,10.35,10.63,10.9,11.08,11.65
2005-03-04,12.98,11.82,9.62,9.03,9.26,9.62,12.4,11.69,10.94,10.43,9.81,10.05,10.28,10.43,11.21
2005-03-07,13.08,11.88,9.59,10.22,9.98,9.59,12.44,11.76,11.03,10.55,9.78,10.07,10.36,10.55,11.24
2005-03-08,14.06,12.57,9.63,10.76,10.35,9.63,12.7,11.96,11.17,10.64,9.87,10.17,10.46,10.65,11.44
2005-03-09,15.03,13.5,10.52,11.26,10.99,10.52,13.21,12.52,11.79,11.3,10.44,10.77,11.09,11.3,11.92
2005-03-10,14.31,12.75,9.67,10.49,10.19,9.67,13.12,12.34,11.51,10.95,10.1,10.43,10.75,10.96,11.85
2005-03-11,14.51,12.95,9.87,11.93,11.2,9.86,13.02,12.41,11.76,11.32,10.43,10.78,11.11,11.32,12.17
2005-03-14,17.5,15.11,9.97,13.07,12.0,9.97,12.99,12.3,11.57,11.09,10.24,10.56,10.88,11.09,12.06
2005-03-15,19.21,16.46,10.46,15.02,13.49,10.46,13.58,12.82,12.01,11.47,10.63,10.96,11.27,11.47,12.47
2005-03-16,19.66,16.54,9.29,16.95,14.56,9.31,13.97,13.22,12.41,11.88,11.0,11.34,11.66,11.88,12.75
2005-03-17,14.47,12.07,6.32,12.89,10.9,6.33,13.27,12.62,11.92,11.46,10.56,10.9,11.24,11.46,12.99
2005-03-18,13.38,12.57,11.11,10.49,10.73,11.11,13.56,13.08,12.58,12.25,11.36,11.71,12.04,12.26,12.73
2005-03-21,13.58,12.84,11.52,10.93,11.16,11.53,13.52,13.1,12.66,12.36,11.54,11.86,12.17,12.37,12.96
