model,regressors,n,r2,coef_csi_t,coef_rv_t,p_csi_t,p_rv_t,coef_risk_share_top5,p_risk_share_top5,coef_risk_share_top7,p_risk_share_top7,coef_risk_share_top10,p_risk_share_top10,coef_n_eff_risk_flipped,p_n_eff_risk_flipped,coef_risk_entropy,p_risk_entropy,coef_risk_zavg,p_risk_zavg
baseline_csi_only,"csi_t,rv_t",295,0.4156783255869826,0.00029649137563515944,0.6426992651166605,0.6782295942556111,4.086162380873327e-11,,,,,,,,,,,,
csi_plus_risk_share_top5,"csi_t,risk_share_top5,rv_t",295,0.41568595882181025,0.00017872432098266352,0.6435986300690212,0.9101446410068208,1.0096104954509057e-11,0.0018887230407212754,0.9372160287812791,,,,,,,,,,
csi_plus_risk_share_top7,"csi_t,risk_share_top7,rv_t",295,0.4157525147984943,0.0006463144346134241,0.6399014169307853,0.6654078763044857,1.0347834815645595e-11,,,-0.005122544089945131,0.8086347116536794,,,,,,,,
csi_plus_risk_share_top10,"csi_t,risk_share_top10,rv_t",295,0.41576665161435655,0.0006338282380722682,0.6402133656105622,0.6604852041342664,5.082125736464829e-11,,,,,-0.004789736596715263,0.7783226682076586,,,,,,
csi_plus_n_eff_risk_flipped,"csi_t,n_eff_risk_flipped,rv_t",295,0.4200091015638927,-0.002691818056651676,0.651664210438132,0.10779397684926698,1.0109497314284665e-11,,,,,,,0.0003332774974117728,0.047586858543343664,,,,
csi_plus_risk_entropy,"csi_t,risk_entropy,rv_t",295,0.4160185402668194,-0.00036937635851302096,0.647285112619824,0.8134339784737196,1.0529807800891304e-10,,,,,,,,,0.018644723992236052,0.5649786844652305,,
csi_plus_risk_zavg,"csi_t,risk_zavg,rv_t",295,0.4158648602066797,-0.000294480630357997,0.6465773708974836,0.8558202260410053,2.559606581733647e-11,,,,,,,,,,,0.0010577028717681505,0.6803378693134112
risk_only_risk_share_top5,"risk_share_top5,rv_t",295,0.4156712518480925,,0.6449340286807117,,8.900323204793782e-12,0.0042865792101690475,0.6913347983366498,,,,,,,,,,
risk_only_risk_share_top7,"risk_share_top7,rv_t",295,0.4155441227014901,,0.6449137095703903,,7.455313318497644e-12,,,0.002665542513525885,0.7887546318568954,,,,,,,,
risk_only_risk_share_top10,"risk_share_top10,rv_t",295,0.4155221889980255,,0.6447826073774394,,8.212493052242784e-12,,,,,0.0022657603132409734,0.7879125478464615,,,,,,
risk_only_n_eff_risk_flipped,"n_eff_risk_flipped,rv_t",295,0.4170111833811023,,0.6421546219434504,,2.966580612202226e-11,,,,,,,7.715960921648253e-05,0.3163671988572879,,,,
risk_only_risk_entropy,"risk_entropy,rv_t",295,0.4159362600797505,,0.6447617361594384,,9.368691840031677e-12,,,,,,,,,0.010516099611869976,0.4924282379370827,,
risk_only_zavg,"risk_zavg,rv_t",295,0.41582592539403973,,0.6446418563932853,,1.0829760271871751e-11,,,,,,,,,,,0.0006146531158766984,0.5960278739875919
